Date,Number/Day,Percent with Soap wrt Number,Total Time (s),Percent with Soap wrt Time,Average time per handwash,,,,,,
2016-01-01,7130,0.8889734,49910,0.7676798,7,,,,,,
2016-01-02,556,0.604517,7784,0.3030897,14,,,,,,
2016-01-03,379,0.7029112,3032,0.6849537,8,,,,,,
2016-01-04,6359,0.3734412,50872,0.1259207,8,,,,,,
2016-01-05,4626,0.5413559,55512,0.8250615,12,,,,,,
2016-01-06,3968,0.8591402,51584,0.1831338,13,,,,,,
2016-01-07,4703,0.3398034,32921,0.6964745,7,,,,,,
2016-01-08,4514,0.7009381,40626,0.4695284,9,,,,,,
2016-01-09,291,0.4614942,2328,0.4727306,8,,,,,,
2016-01-10,314,0.7212982,2826,0.5864831,9,,,,,,
2016-01-11,4790,0.6310495,43110,0.6725086,9,,,,,,
2016-01-12,3572,0.5769194,35720,0.6250523,10,,,,,,
2016-01-13,7302,0.5046542,65718,0.1972677,9,,,,,,
2016-01-14,4040,0.3696525,40400,0.4646907,10,,,,,,
2016-01-15,7803,0.7154729,54621,0.7760654,7,,,,,,
2016-01-16,272,0.8070725,2448,0.0861813,9,,,,,,
2016-01-17,631,0.35143,8203,0.2126901,13,,,,,,
2016-01-18,4989,0.5529956,34923,0.0780116,7,,,,,,
2016-01-19,7265,0.860213,65385,0.4604372,9,,,,,,
2016-01-20,7370,0.5368387,110550,0.5500203,15,,,,,,
2016-01-21,5627,0.3533605,84405,0.7664996,15,,,,,,
2016-01-22,6678,0.276218,73458,0.7475769,11,,,,,,
2016-01-23,402,0.691971,3618,0.504311,9,,,,,,
2016-01-24,761,0.2851083,9893,0.4383024,13,,,,,,
2016-01-25,7069,0.7106117,49483,0.2985785,7,,,,,,
2016-01-26,5293,0.2224724,52930,0.1214958,10,,,,,,
2016-01-27,5359,0.241728,37513,0.510607,7,,,,,,
2016-01-28,4887,0.8753379,73305,0.7445887,15,,,,,,
2016-01-29,3764,0.541267,30112,0.7692354,8,,,,,,
2016-01-30,492,0.5850739,4428,0.2142284,9,,,,,,
2016-01-31,472,0.8669591,4720,0.6625287,10,,,,,,
2016-02-01,5373,0.3022672,37611,0.4662236,7,,,,,,
2016-02-02,7749,0.6982896,100737,0.4844967,13,,,,,,
2016-02-03,6085,0.6559776,54765,0.0699199,9,,,,,,
2016-02-04,4126,0.2064233,28882,0.256005,7,,,,,,
2016-02-05,6479,0.4457746,58311,0.4138672,9,,,,,,
2016-02-06,535,0.6149617,5885,0.4670318,11,,,,,,
2016-02-07,681,0.2453215,8853,0.6963211,13,,,,,,
2016-02-08,6606,0.7105259,85878,0.5925023,13,,,,,,
2016-02-09,4114,0.5005799,28798,0.5247991,7,,,,,,
2016-02-10,6882,0.3491433,61938,0.3363785,9,,,,,,
2016-02-11,4220,0.6787865,54860,0.5820825,13,,,,,,
2016-02-12,6539,0.729434,71929,0.7050613,11,,,,,,
2016-02-13,296,0.4195086,4440,0.5160081,15,,,,,,
2016-02-14,360,0.5317729,3240,0.2660165,9,,,,,,
2016-02-15,7332,0.7747867,65988,0.1227148,9,,,,,,
2016-02-16,6669,0.6782243,46683,0.1648442,7,,,,,,
2016-02-17,6540,0.5025156,45780,0.6617913,7,,,,,,
2016-02-18,4905,0.6078949,58860,0.5227114,12,,,,,,
2016-02-19,7700,0.4322599,77000,0.7719382,10,,,,,,
